Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
5.7,0_run2,0_run2,5.8303902935573,9.132947762573117,1520.0943702847105,4689.031803431727,2006.7221740074956,1276.250235395167,38,4473
13.8,0_run2,0_run2,10.0,89.73679587401713,582.51,1796.8000000000002,1927.0211953641854,1266.4207142992125,32,1562
21.9,0_run2,0_run2,10.0,170.73679587401713,582.51,1796.8000000000002,1846.234471558721,1260.9455414184479,25,8651
30.0,0_run2,0_run2,10.0,251.7367958740171,582.51,1796.8000000000002,1832.1685404556208,1320.094962871417,19,5740
38.1,0_run2,0_run2,10.0,332.7367958740171,582.51,1796.8000000000002,1842.919782880332,1400.3780284634456,13,2829
46.2,0_run2,0_run2,10.0,413.7367958740171,582.51,1796.8000000000002,1852.899993771564,1480.76377163837,6,9917
54.2,0_run2,0_run2,10.0,493.7367958740171,582.51,1796.8000000000002,1837.1687295853576,1548.4803452488416,50,0000
78.5,0_run2,0_run2,10.0,574.736795874017,582.51,1796.8000000000002,1765.6909693678415,1586.1913917233474,31,1267
86.7,0_run2,0_run2,10.0,656.736795874017,582.51,1796.8000000000002,1700.0078241352303,1634.5897876878507,24,7579
94.8,0_run2,0_run2,10.0,737.736795874017,582.51,1796.8000000000002,1650.3610029315964,1698.5019162475567,18,4668
102.9,0_run2,0_run2,10.0,818.7367958740172,582.51,1796.8000000000002,1588.6414036637657,1749.564968562031,12,1757
111.0,0_run2,0_run2,10.0,899.7367958740172,582.51,1796.8000000000002,1520.9273065978136,1793.8999854982023,5,8846
119.2,0_run2,0_run2,10.0,981.7367958740172,582.51,1796.8000000000002,1451.682072522399,1837.8206798024376,50,0000
143.4,0_run2,0_run2,10.0,1062.736795874017,582.51,1796.8000000000002,1377.2598570582336,1867.6076320828415,31,2043
151.5,0_run2,0_run2,10.0,1143.7367958740172,582.51,1796.8000000000002,1296.555834206675,1871.5727154812362,24,9132
159.7,0_run2,0_run2,10.0,1225.736795874017,582.51,1796.8000000000002,1214.7146443693516,1867.986423382779,18,5445
167.8,0_run2,0_run2,10.0,1306.736795874017,582.51,1796.8000000000002,1134.3345551609466,1861.9628371983918,12,2534
175.9,0_run2,0_run2,10.0,1387.736795874017,582.51,1796.8000000000002,1055.5259542996769,1866.346318683901,5,9622
184.0,0_run2,0_run2,10.0,1468.7367958740172,582.51,1796.8000000000002,1025.7495861153297,1803.8835162401954,50,0000
