Timestamp,ID Car,ID Route,Speed,Distance,FuelConsumption,CO2Emission,longitude(lon),latitude(lat),Tanque
0.4,130,130,0.7482553043429222,0.15129292116889514,957.9186103270788,3003.1561331399066,1444.6450426694337,2051.964740109088,49,4891
1.9,130,130,10.0,15.151292921168896,673.7222222222221,2112.222222222222,1432.256095823721,2043.51161253509,48,1417
3.4,130,130,10.0,30.151292921168896,673.7222222222221,2112.222222222222,1419.8710908119992,2035.0527266415029,46,7942
5.5,130,130,10.0,51.151292921168896,673.7222222222221,2112.222222222222,1402.562684943556,2023.1655835465253,44,9078
7.3,130,130,10.0,69.1512929211689,673.7222222222221,2112.222222222222,1387.7269084848906,2012.97660375083,43,2909
9.0,130,130,10.0,86.1512929211689,673.7222222222221,2112.222222222222,1373.7153418294843,2003.3536783882291,41,7638
10.7,130,130,10.0,103.1512929211689,673.7222222222221,2112.222222222222,1359.4509591762069,1994.1045648352308,40,2367
12.4,130,130,10.0,120.1512929211689,673.7222222222221,2112.222222222222,1344.880290751018,1985.3479035308987,38,7096
14.2,130,130,10.0,138.1512929211689,673.7222222222221,2112.222222222222,1329.4465026332732,1976.0864022705841,37,0926
15.9,130,130,10.0,155.1512929211689,673.7222222222221,2112.222222222222,1314.9962471914373,1967.1320573515727,35,5655
17.7,130,130,10.0,173.1512929211689,673.7222222222221,2112.222222222222,1299.6959767236108,1957.6509862608548,33,9486
19.4,130,130,10.0,190.15129292116893,673.7222222222221,2112.222222222222,1285.093560279668,1948.988855275235,32,4215
20.5,130,130,10.0,201.15129292116893,673.7222222222221,2112.222222222222,1274.6723604175388,1950.6755472651344,31,4334
22.2,130,130,10.0,218.1512929211689,673.7222222222221,2112.222222222222,1259.84535266144,1958.874403937606,29,9063
23.3,130,130,10.0,229.1512929211689,673.7222222222221,2112.222222222222,1249.0832718561194,1960.923634826277,28,9181
25.0,130,130,10.0,246.1512929211689,673.7222222222221,2112.222222222222,1232.1010862382886,1961.678026638718,27,3910
26.7,130,130,10.0,263.1512929211689,673.7222222222221,2112.222222222222,1215.1129503819964,1962.3391910733828,25,8639
28.3,130,130,10.0,279.1512929211689,673.7222222222221,2112.222222222222,1199.118707078831,1962.6868768825284,24,4266
30.0,130,130,10.0,296.1512929211689,673.7222222222221,2112.222222222222,1182.1255671670922,1962.3189749691192,22,8995
31.8,130,130,10.0,314.1512929211689,673.7222222222221,2112.222222222222,1164.1375193583272,1961.6377000687207,21,2826
33.5,130,130,10.0,331.1512929211689,673.7222222222221,2112.222222222222,1147.138707078831,1961.3355548306313,19,7555
34.9,130,130,10.0,345.1512929211689,673.7222222222221,2112.222222222222,1133.1437549780815,1961.6290088263881,18,4979
36.9,130,130,10.0,365.1512929211689,673.7222222222221,2112.222222222222,1113.1863860197086,1962.8211949474712,16,7013
38.9,130,130,10.0,385.1512929211689,673.7222222222221,2112.222222222222,1093.3083270851453,1964.9084391916174,14,9047
40.6,130,130,10.0,402.1512929211689,673.7222222222221,2112.222222222222,1076.4957322387106,1967.424222149268,13,3776
42.4,130,130,10.0,420.1512929211689,673.7222222222221,2112.222222222222,1058.6864120188277,1970.022399701571,11,7607
44.0,130,130,10.0,436.1512929211689,673.7222222222221,2112.222222222222,1042.7466577291016,1971.4071732845337,10,3234
45.7,130,130,10.0,453.1512929211689,673.7222222222221,2112.222222222222,1025.7935838910958,1971.8872021435648,8,7963
47.5,130,130,10.0,471.1512929211689,673.7222222222221,2112.222222222222,1007.9189547783913,1969.910386849092,7,1794
49.3,130,130,10.0,489.1512929211689,673.7222222222221,2112.222222222222,990.3232353211564,1966.2460439674137,5,5624
50.9,130,130,10.0,505.1512929211689,673.7222222222221,2112.222222222222,975.2842004132198,1960.834427974974,4,1251
52.7,130,130,10.0,523.1512929211689,673.7222222222221,2112.222222222222,961.61044401347,1949.4415485922807,50,0000
58.1,130,130,10.0,542.1512929211689,673.7222222222221,2112.222222222222,948.215037573479,1935.964854154091,45,1492
59.3,130,130,10.0,554.1512929211689,673.7222222222221,2112.222222222222,939.7547808745373,1927.4532576668134,44,0712
61.1,130,130,10.0,572.1512929211689,673.7222222222221,2112.222222222222,926.780586398181,1914.9765960359575,42,4543
63.0,130,130,10.0,591.1512929211689,673.7222222222221,2112.222222222222,912.7756338600051,1902.1321882769812,40,7475
64.2,130,130,10.0,603.1512929211689,673.7222222222221,2112.222222222222,906.1863106695151,1892.9620194298438,39,6696
65.6,130,130,10.0,617.151292921169,673.7222222222221,2112.222222222222,919.6441085328136,1893.7940563587772,38,4120
67.4,130,130,10.0,635.151292921169,673.7222222222221,2112.222222222222,937.3636082252474,1896.942303231855,36,7950
69.2,130,130,10.0,653.151292921169,673.7222222222221,2112.222222222222,955.0831079176813,1900.0905501049326,35,1781
71.0,130,130,10.0,671.1512929211689,673.7222222222221,2112.222222222222,971.6847334219578,1905.893533130398,33,5612
